context,condition_bin,component,units,n_sequences,n_sequence_condition_rows,support_label,sequence_mean_of_median,sequence_median_of_median,sequence_p95_of_median,sequence_sd_of_median,sequence_mean_of_mean,sequence_median_of_mean,sequence_p95_of_mean,sequence_sd_of_mean,sequence_mean_of_p90,sequence_median_of_p90,sequence_p95_of_p90,sequence_sd_of_p90,sequence_mean_of_p95,sequence_median_of_p95,sequence_p95_of_p95,sequence_sd_of_p95,sequence_mean_of_max,sequence_median_of_max,sequence_p95_of_max,sequence_sd_of_max
speed,high,Dp_m,m,10,10,descriptive_broad_support,1.286487826898262,0.8662326648825319,3.433563757185885,1.3477074082218525,1.779407206284171,1.126364912478862,5.642359835405902,2.4330459969472744,3.845017335913778,2.069150330469488,13.873511841693581,6.264382179203155,4.457831197610553,2.327542522910462,15.57587531540555,6.806245017180049,5.472994009593272,4.084476521338358,17.287026661273828,7.233293109238543
speed,high,Dtheta_deg,deg,10,10,descriptive_broad_support,1.633464792693466,0.38824654837989575,7.058079892882935,2.990412762405389,2.0788902117617156,0.5761285994272933,8.928376287135583,3.965385197554971,4.392835726938454,1.353721153479098,18.866225154806685,8.655276786928013,4.788575833808186,1.7593010522909664,19.21735111785483,8.654671607138006,6.534932839038031,3.8416105414772415,20.94573647448835,8.999668849943669
speed,high,Dv_mps,m/s,10,10,descriptive_broad_support,0.022061867101244036,0.02270694174997815,0.026624835350958095,0.003576917508605125,0.02911507633653998,0.02895038120528886,0.03546864053186757,0.005352176987846788,0.06111439652120069,0.06103856360229346,0.07543730267633991,0.011372321383895214,0.07893454342721568,0.07748275218376262,0.10178615762968536,0.016543988002706875,0.3825335609484076,0.32081865767637885,0.732479257408219,0.23268250280738495
speed,high,Iomega_abs_deg,deg,10,10,descriptive_broad_support,7.284155383563511,6.571209801166628,12.222741188286703,3.060943456147368,8.044787942095589,7.9200008433824465,12.152870394146738,3.0823466051817676,15.453915883148477,14.616116649843732,25.677032261465115,7.451521619599858,16.409669684505705,15.14122249441873,27.4305461999959,7.860666668509819,18.483822319711145,17.1646421459147,31.049623907113897,8.691902974529299
speed,low,Domega_radps,rad/s,10,10,descriptive_broad_support,0.0037388420472173325,0.0031606307505474248,0.007124539519039257,0.0020505049864144426,0.011669390254514422,0.011579485095080963,0.017704477626718788,0.004087321483169913,0.029921811452756315,0.028569652652367973,0.04741658793762325,0.011439043463285269,0.054995575997357535,0.05324382901502151,0.08595604526810338,0.020898558323457182,0.2514768084511161,0.2715905137980978,0.33353573270142073,0.06767233502715043
speed,low,Dp_m,m,10,10,descriptive_broad_support,1.664525687464014,0.8512387358020937,5.592516614682044,2.3383820805771474,1.9995709231407464,1.0690093600137793,6.778071863908011,2.8298410618639136,3.985107736250022,2.3462443037411838,13.628935781363005,5.681691378790749,4.6231101415255145,2.7190185652439376,15.811927807010834,6.684052017958469,5.599344927330906,4.187371802990604,17.984504798324178,7.514954911080449
speed,low,Dtheta_deg,deg,10,10,descriptive_broad_support,2.455939311461162,0.504615048802968,11.123801721081506,5.110512052986833,2.7610858668068574,0.7871273895992744,12.10895359009875,5.504179449865183,4.831738843681931,1.8508083260761112,19.953992360825282,9.032042992493865,5.214535494174019,2.2652207393118102,20.61422795329872,9.227775954026914,6.605983850817495,3.7277681848079878,22.154334625263687,9.489514562306027
speed,low,Dv_mps,m/s,10,10,descriptive_broad_support,0.01634800392287914,0.016175206928892245,0.024508998581829124,0.006217219163781454,0.027818175121950985,0.025689362096423484,0.04133851434317721,0.010149952588602164,0.05662759264989285,0.04960172496115161,0.08538501307523487,0.018532121864873324,0.08629176705862232,0.07087089803996297,0.15008613953754918,0.04032223748781655,0.5307209517069472,0.5961725271190517,0.7970670839461186,0.22471779829277302
speed,low,Iomega_abs_deg,deg,10,10,descriptive_broad_support,10.443486722880298,9.236410213894127,19.79986409727674,6.471633886198427,10.374615753942269,9.208987325521367,19.377230761834007,6.2094767993575415,16.92312874741061,14.804819837605411,31.175078013586788,8.949995127121857,17.605724481623454,15.414595651922497,32.20104989477315,9.197697269855842,18.970764336358037,17.15235587078221,33.63182081799844,9.302690160908226
speed,medium,Domega_radps,rad/s,10,10,descriptive_broad_support,0.004672056120398312,0.004271809496761567,0.007518228028008382,0.002005847232598604,0.014523890150639604,0.015275364129770402,0.01889178039224921,0.004079412477430631,0.03953692972815282,0.03969374820590016,0.05362561515842866,0.011379423059753683,0.07101287446760876,0.06304071948397896,0.1221376973576842,0.029774083614316202,0.2609461508070429,0.2256429937357704,0.3809080234418313,0.08075324394450398
