condition_variable,nominal_bin,comparison_bin,metric,n_sequences,mean_delta_vs_nominal,median_delta_vs_nominal,mean_ratio_vs_nominal,median_ratio_vs_nominal,n_sequences_degraded,fraction_sequences_degraded,sequences_degraded
acceleration,low,high,Dtheta_p95_deg,10,-8.763257181465534e-05,-0.04191094337644927,0.9948394700591935,0.9855738688757112,3,0.3,"building01,building02,parking00"
acceleration,low,high,Dv_rmse_mps,10,0.015023285170579942,0.011184743605781797,1.3670210165378927,1.2918472544518234,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
acceleration,low,high,Domega_rmse_radps,10,0.0024179564330532683,0.0025772382424988707,1.0899745745389349,1.089620990007072,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
acceleration,low,high,RPE1_m,10,0.010312844052755574,0.004351491267093492,1.1549160054311887,1.211716707314391,8,0.8,"building00,building01,building02,parking00,parking01,parking02,playground00,street00"
acceleration,low,high,RPE5_m,10,0.019791001382500718,0.010882180909003517,1.1126170191381943,1.1132126795584352,8,0.8,"building00,building01,building02,parking00,parking01,parking02,playground00,street01"
acceleration,low,high,RPE10_m,10,0.01588187967744853,0.009957466494123657,1.0723964427492718,1.0689734849847325,7,0.7,"building00,building01,building02,parking01,parking02,playground00,street01"
acceleration,low,high,persistent_yaw_residual_abs_deg_per_min,10,0.4225296135822768,0.3353805644062081,1.7389450201620835,1.350123628350711,6,0.6,"building01,parking00,parking02,playground00,street00,street02"
acceleration,low,high,Iomega_p95_abs_deg,10,-0.35471475007169734,-0.11208110461751275,0.9787254498027516,0.9940125461183953,3,0.3,"building01,parking00,street02"
turning,low,medium,Dp_mean_m,10,0.09619417468143115,0.02316797569822529,1.0792377097188715,1.0379196549049525,6,0.6,"building02,parking00,parking02,playground00,street00,street01"
turning,low,medium,Dp_p95_m,10,0.06697195854832336,0.015216614787729454,1.015283030756988,1.012297190309162,8,0.8,"building02,parking00,parking01,parking02,playground00,street00,street01,street02"
turning,low,medium,Dtheta_mean_deg,10,-0.04468868907778566,-0.009349501747050945,0.9835146403973412,0.9777999900017575,3,0.3,"building00,building01,parking00"
turning,low,medium,Dtheta_p95_deg,10,0.0162878866059127,-0.03346092508247356,0.9948735886893981,0.9747219424074216,3,0.3,"building00,building02,parking00"
turning,low,medium,Dv_rmse_mps,10,0.007442945542853556,0.0058292403781715595,1.213572504447376,1.1759092501024502,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
turning,low,medium,Domega_rmse_radps,10,0.004628918260945645,0.003959700992757453,1.4216857848165927,1.4240377166950808,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
turning,low,medium,RPE1_m,10,0.006614901845942193,0.0010684320356722796,1.1048341296724797,1.0591204200623028,7,0.7,"building00,building02,parking00,parking01,parking02,playground00,street00"
turning,low,medium,RPE5_m,10,0.014372537748691388,0.0027429362053187217,1.0817871896890487,1.045300392037911,7,0.7,"building00,building02,parking00,parking01,parking02,playground00,street00"
turning,low,medium,RPE10_m,10,0.016013729793678575,0.003963723713159853,1.0584129297975924,1.035855584823938,6,0.6,"building00,building02,parking00,parking01,playground00,street00"
turning,low,medium,persistent_yaw_residual_abs_deg_per_min,10,1.3602497719899382,0.9665424345662064,1.931098283840082,1.6370931641714948,9,0.9,"building00,building01,building02,parking00,parking01,parking02,playground00,street01,street02"
turning,low,medium,Iomega_p95_abs_deg,10,-0.42401324915660005,-0.1367394466399432,0.9722043785550601,0.9900567371954949,1,0.1,street02
turning,low,high,Dp_mean_m,10,0.1940900827303415,0.02173966117545767,1.081296884917475,1.02998428168268,7,0.7,"building01,building02,parking00,parking02,playground00,street00,street01"
turning,low,high,Dp_p95_m,10,0.25379900548465867,0.029641558350446462,1.0316569936224718,1.0470102064898739,8,0.8,"building02,parking00,parking01,parking02,playground00,street00,street01,street02"
turning,low,high,Dtheta_mean_deg,10,0.09275732293842515,0.05403278920218105,1.1238116569958283,1.0547871468504184,8,0.8,"building00,building01,building02,parking00,parking02,street00,street01,street02"
turning,low,high,Dtheta_p95_deg,10,0.3159764127126291,0.22755238514065357,1.1635888240510055,1.0816287139787621,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
turning,low,high,Dv_rmse_mps,10,0.024438290901989353,0.02480554963399805,1.6755404476241498,1.6564711748571663,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
