sequence,model_replicate,transport_replicate,condition,service,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,eligible_samples,observable_samples,mean_aoi_s,max_aoi_s,qualified
building01,seed_1042,2,degraded,local_1s,1.0,0.4477165707451977,0.6309888631437327,0.3327602959862471,13379,13379,0.49686822632447364,1.6999999999989086,0
building01,seed_1042,2,degraded,local_5s,1.0,0.3568483394557313,0.9764600044980883,0.35662343504010796,13339,13339,0.4968963190640338,1.6999999999989086,0
building01,seed_1042,2,degraded,local_10s,1.0,0.4480397321092633,0.9987959966889909,0.44788923169538714,13289,13289,0.49695989163933824,1.6999999999989086,0
building01,seed_1042,2,degraded,global,1.0,0.1803719471207708,0.9764732242885951,0.1784300545223691,13389,13389,0.49683322130070423,1.6999999999989086,0
building01,seed_2042,2,degraded,local_1s,1.0,0.45205172284924133,0.6309888631437327,0.33552582405261977,13379,13379,0.49686822632447364,1.6999999999989086,0
building01,seed_2042,2,degraded,local_5s,1.0,0.370417572531674,0.9764600044980883,0.37019266811605067,13339,13339,0.4968963190640338,1.6999999999989086,0
building01,seed_2042,2,degraded,local_10s,1.0,0.4551132515614418,0.9987959966889909,0.4549627511475657,13289,13289,0.49695989163933824,1.6999999999989086,0
building01,seed_2042,2,degraded,global,1.0,0.1862723130928374,0.9764732242885951,0.1833594741952349,13389,13389,0.49683322130070423,1.6999999999989086,0
building02,seed_42,2,degraded,local_1s,1.0,0.5346120408606825,0.6320365138013475,0.39181699630515104,18404,18404,0.4958758965616915,1.7000000000407454,0
building02,seed_42,2,degraded,local_5s,1.0,0.4675451971248094,0.9772925288608146,0.46623829231104336,18364,18364,0.49589414072754695,1.7000000000407454,0
building02,seed_42,2,degraded,local_10s,1.0,0.527519930108114,0.9989079392814241,0.527519930108114,18314,18314,0.4959375341443594,1.7000000000407454,0
building02,seed_42,2,degraded,global,1.0,0.5302487237971109,0.977299880525687,0.5287281416313674,18414,18414,0.4958509829652191,1.7000000000407454,0
building02,seed_1042,2,degraded,local_1s,1.0,0.536133449250163,0.6320365138013475,0.39246902847207127,18404,18404,0.4958758965616915,1.7000000000407454,0
building02,seed_1042,2,degraded,local_5s,1.0,0.4658571117403616,0.9772925288608146,0.4645502069265955,18364,18364,0.49589414072754695,1.7000000000407454,0
building02,seed_1042,2,degraded,local_10s,1.0,0.5171999563175712,0.9989079392814241,0.5171999563175712,18314,18314,0.4959375341443594,1.7000000000407454,0
