sequence,model_replicate,transport_replicate,condition,requested_rate_hz,realized_arrival_rate_hz,requested_packets,delivered_packets,lost_packets,realized_loss_fraction,delay_p50_ms,delay_p95_ms,delay_max_ms,capture_packets,trace_repetitions
playground00,seed_2042,3,ideal,10.0,9.999999999999693,13263,13263,0,0.0,0.272208,1.4042402999999992,30.649968,1800,7.368333333333333
street00,seed_42,3,ideal,10.0,10.000000000000021,13738,13738,0,0.0,0.2729665,1.404476,30.649968,1800,7.6322222222222225
street00,seed_1042,3,ideal,10.0,10.000000000000021,13738,13738,0,0.0,0.2729665,1.404476,30.649968,1800,7.6322222222222225
street00,seed_2042,3,ideal,10.0,10.000000000000021,13738,13738,0,0.0,0.2729665,1.404476,30.649968,1800,7.6322222222222225
street01,seed_42,3,ideal,10.0,10.000000000000023,12483,12483,0,0.0,0.273209,1.404912,30.649968,1800,6.935
street01,seed_1042,3,ideal,10.0,10.000000000000023,12483,12483,0,0.0,0.273209,1.404912,30.649968,1800,6.935
street01,seed_2042,3,ideal,10.0,10.000000000000023,12483,12483,0,0.0,0.273209,1.404912,30.649968,1800,6.935
street02,seed_42,3,ideal,10.0,10.000000000000083,13799,13799,0,0.0,0.273209,1.404476,30.649968,1800,7.666111111111111
street02,seed_1042,3,ideal,10.0,10.000000000000083,13799,13799,0,0.0,0.273209,1.404476,30.649968,1800,7.666111111111111
street02,seed_2042,3,ideal,10.0,10.000000000000083,13799,13799,0,0.0,0.273209,1.404476,30.649968,1800,7.666111111111111
building00,seed_42,1,practical,5.0,4.95669553630913,6005,5953,52,0.008659450457951707,56.273509,100.397571,891.146217,900,6.6722222222222225
building00,seed_1042,1,practical,5.0,4.95669553630913,6005,5953,52,0.008659450457951707,56.273509,100.397571,891.146217,900,6.6722222222222225
building00,seed_2042,1,practical,5.0,4.95669553630913,6005,5953,52,0.008659450457951707,56.273509,100.397571,891.146217,900,6.6722222222222225
building01,seed_42,1,practical,5.0,4.956165984804211,6845,6785,60,0.008765522279035792,56.273509,100.397571,891.146217,900,7.605555555555555
building01,seed_1042,1,practical,5.0,4.956165984804211,6845,6785,60,0.008765522279035792,56.273509,100.397571,891.146217,900,7.605555555555555
building01,seed_2042,1,practical,5.0,4.956165984804211,6845,6785,60,0.008765522279035792,56.273509,100.397571,891.146217,900,7.605555555555555
building02,seed_42,1,practical,5.0,4.955378613797849,9357,9273,84,0.008977236293683874,56.229464,100.397571,891.146217,900,10.396666666666667
building02,seed_1042,1,practical,5.0,4.955378613797849,9357,9273,84,0.008977236293683874,56.229464,100.397571,891.146217,900,10.396666666666667
building02,seed_2042,1,practical,5.0,4.955378613797849,9357,9273,84,0.008977236293683874,56.229464,100.397571,891.146217,900,10.396666666666667
parking00,seed_42,1,practical,5.0,4.954417952314216,5705,5653,52,0.009114811568799298,56.273509,100.36198559999998,891.146217,900,6.338888888888889
parking00,seed_1042,1,practical,5.0,4.954417952314216,5705,5653,52,0.009114811568799298,56.273509,100.36198559999998,891.146217,900,6.338888888888889
parking00,seed_2042,1,practical,5.0,4.954417952314216,5705,5653,52,0.009114811568799298,56.273509,100.36198559999998,891.146217,900,6.338888888888889
parking01,seed_42,1,practical,5.0,4.957539158331815,5300,5255,45,0.008490566037735849,56.229464,100.397571,891.146217,900,5.888888888888889
parking01,seed_1042,1,practical,5.0,4.957539158331815,5300,5255,45,0.008490566037735849,56.229464,100.397571,891.146217,900,5.888888888888889
parking01,seed_2042,1,practical,5.0,4.957539158331815,5300,5255,45,0.008490566037735849,56.229464,100.397571,891.146217,900,5.888888888888889
parking02,seed_42,1,practical,5.0,4.955442393380059,6285,6229,56,0.008910103420843278,56.273509,100.397571,891.146217,900,6.983333333333333
parking02,seed_1042,1,practical,5.0,4.955442393380059,6285,6229,56,0.008910103420843278,56.273509,100.397571,891.146217,900,6.983333333333333
parking02,seed_2042,1,practical,5.0,4.955442393380059,6285,6229,56,0.008910103420843278,56.273509,100.397571,891.146217,900,6.983333333333333
playground00,seed_42,1,practical,5.0,4.954757955059416,6632,6572,60,0.009047044632086852,56.273509,100.397571,891.146217,900,7.368888888888889
playground00,seed_1042,1,practical,5.0,4.954757955059416,6632,6572,60,0.009047044632086852,56.273509,100.397571,891.146217,900,7.368888888888889
playground00,seed_2042,1,practical,5.0,4.954757955059416,6632,6572,60,0.009047044632086852,56.273509,100.397571,891.146217,900,7.368888888888889
street00,seed_42,1,practical,5.0,4.956686321613172,6869,6809,60,0.008734895909157082,56.273509,100.397571,891.146217,900,7.6322222222222225
street00,seed_1042,1,practical,5.0,4.956686321613172,6869,6809,60,0.008734895909157082,56.273509,100.397571,891.146217,900,7.6322222222222225
street00,seed_2042,1,practical,5.0,4.956686321613172,6869,6809,60,0.008734895909157082,56.273509,100.397571,891.146217,900,7.6322222222222225
street01,seed_42,1,practical,5.0,4.956737702291311,6242,6188,54,0.008651073373918615,56.273509,100.397571,891.146217,900,6.935555555555555
street01,seed_1042,1,practical,5.0,4.956737702291311,6242,6188,54,0.008651073373918615,56.273509,100.397571,891.146217,900,6.935555555555555
street01,seed_2042,1,practical,5.0,4.956737702291311,6242,6188,54,0.008651073373918615,56.273509,100.397571,891.146217,900,6.935555555555555
street02,seed_42,1,practical,5.0,4.9565154370199,6900,6840,60,0.008695652173913044,56.273509,100.397571,891.146217,900,7.666666666666667
street02,seed_1042,1,practical,5.0,4.9565154370199,6900,6840,60,0.008695652173913044,56.273509,100.397571,891.146217,900,7.666666666666667
street02,seed_2042,1,practical,5.0,4.9565154370199,6900,6840,60,0.008695652173913044,56.273509,100.397571,891.146217,900,7.666666666666667
building00,seed_42,2,practical,5.0,4.921718854097271,6005,5911,94,0.015653621981681933,53.069375,93.110475,644.959693,900,6.6722222222222225
building00,seed_1042,2,practical,5.0,4.921718854097271,6005,5911,94,0.015653621981681933,53.069375,93.110475,644.959693,900,6.6722222222222225
building00,seed_2042,2,practical,5.0,4.921718854097271,6005,5911,94,0.015653621981681933,53.069375,93.110475,644.959693,900,6.6722222222222225
building01,seed_42,2,practical,5.0,4.921098772647577,6845,6737,108,0.015777940102264427,53.086763,93.114062,644.959693,900,7.605555555555555
building01,seed_1042,2,practical,5.0,4.921098772647577,6845,6737,108,0.015777940102264427,53.086763,93.114062,644.959693,900,7.605555555555555
building01,seed_2042,2,practical,5.0,4.921098772647577,6845,6737,108,0.015777940102264427,53.086763,93.114062,644.959693,900,7.605555555555555
building02,seed_42,2,practical,5.0,4.92278095441667,9357,9212,145,0.01549641979266859,53.146317,93.12841,644.959693,900,10.396666666666667
building02,seed_1042,2,practical,5.0,4.92278095441667,9357,9212,145,0.01549641979266859,53.146317,93.12841,644.959693,900,10.396666666666667
building02,seed_2042,2,practical,5.0,4.92278095441667,9357,9212,145,0.01549641979266859,53.146317,93.12841,644.959693,900,10.396666666666667
parking00,seed_42,2,practical,5.0,4.921984572230064,5705,5616,89,0.015600350569675722,53.225269,93.12841,644.959693,900,6.338888888888889
parking00,seed_1042,2,practical,5.0,4.921984572230064,5705,5616,89,0.015600350569675722,53.225269,93.12841,644.959693,900,6.338888888888889
parking00,seed_2042,2,practical,5.0,4.921984572230064,5705,5616,89,0.015600350569675722,53.225269,93.12841,644.959693,900,6.338888888888889
parking01,seed_42,2,practical,5.0,4.922626910737929,5300,5218,82,0.015471698113207547,53.146317,93.13102705000001,644.959693,900,5.888888888888889
