method,domain,mad,metric_a,metric_b,n_sequences,spearman,bootstrap_ci_low,bootstrap_ci_high,valid_bootstrap_replicates,interpretation
Twin V2,position_xy,0.5,dp_p95_m,fd_max_m,10,0.3696969696969697,-0.4409937888198758,0.9070295983086635,20000,exploratory sequence-level correlation
Twin V2,position_xy,1.0,ate_m,pct_matched,10,-0.9726488698881034,-1.0,-0.8075749961538342,20000,exploratory sequence-level correlation
Twin V2,position_xy,1.0,rpe10_m,pct_matched,10,-0.2735574946560291,-0.9143271813113513,0.5512820512820513,20000,exploratory sequence-level correlation
Twin V2,position_xy,1.0,dp_p95_m,pct_matched,10,-0.8753839828992931,-1.0,-0.41401273885350326,20000,exploratory sequence-level correlation
Twin V2,position_xy,1.0,ate_m,ed_mean_m,10,0.8909090909090909,0.49999999999999994,1.0,20000,exploratory sequence-level correlation
Twin V2,position_xy,1.0,ate_m,fd_max_m,10,0.709090909090909,-0.006211180124223603,1.0,20000,exploratory sequence-level correlation
Twin V2,position_xy,1.0,rpe10_m,ed_mean_m,10,0.2727272727272727,-0.611111111111111,0.9230769230769231,20000,exploratory sequence-level correlation
Twin V2,position_xy,1.0,dp_p95_m,fd_max_m,10,0.6606060606060605,-0.16049382716049382,0.9874213836477987,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",heading,2.0,heading_mae_deg,pct_matched,10,0.04242424242424241,-0.6729559748427674,0.7070063694267518,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",heading,2.0,dtheta_p95_deg,pct_matched,10,-0.07878787878787878,-0.8039215686274508,0.6296532200990779,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",heading,2.0,heading_mae_deg,ed_mean_deg,10,0.0303030303030303,-0.8076923076923078,0.7307692307692307,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",heading,2.0,dtheta_p95_deg,fd_max_deg,10,0.32121212121212117,-0.9012345679012346,0.8113207547169812,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",heading,5.0,heading_mae_deg,pct_matched,10,-0.07878787878787878,-0.6962025316455698,0.6100628930817611,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",heading,5.0,dtheta_p95_deg,pct_matched,10,-0.17575757575757575,-0.8089171974522295,0.5403983858843986,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",heading,5.0,heading_mae_deg,ed_mean_deg,10,-0.5515151515151515,-0.89937106918239,0.22223991507430843,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",heading,5.0,dtheta_p95_deg,fd_max_deg,10,0.5272727272727272,-0.1139240506329114,0.8300653594771241,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",heading,10.0,heading_mae_deg,pct_matched,10,-0.19999999999999998,-0.8411370086866774,0.5900621118012424,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",heading,10.0,dtheta_p95_deg,pct_matched,10,-0.28484848484848485,-0.9230769230769231,0.5220125786163523,20000,exploratory sequence-level correlation
