family,horizon_s,position_tolerance_m,heading_tolerance_deg,baseline_metric,kendall_tau_service_pass_vs_negative_error
local_relative_motion,1.0,0.2,20.0,ate_m,0.167093470609201
local_relative_motion,1.0,0.2,20.0,rpe1_m,0.6922443782381184
local_relative_motion,1.0,0.2,20.0,rpe5_m,0.6922443782381184
local_relative_motion,1.0,0.2,20.0,rpe10_m,0.7877263614433762
local_relative_motion,1.0,0.2,20.0,dp_p95_m,0.21483446221182986
local_relative_motion,1.0,0.2,20.0,heading_mae_deg,0.21483446221182986
local_relative_motion,1.0,0.2,20.0,dtheta_p95_deg,0.167093470609201
local_relative_motion,1.0,0.5,1.0,ate_m,0.19999999999999998
local_relative_motion,1.0,0.5,1.0,rpe1_m,0.6444444444444444
local_relative_motion,1.0,0.5,1.0,rpe5_m,0.6888888888888888
local_relative_motion,1.0,0.5,1.0,rpe10_m,0.7777777777777777
local_relative_motion,1.0,0.5,1.0,dp_p95_m,0.24444444444444444
local_relative_motion,1.0,0.5,1.0,heading_mae_deg,0.28888888888888886
local_relative_motion,1.0,0.5,1.0,dtheta_p95_deg,0.28888888888888886
local_relative_motion,1.0,0.5,2.0,ate_m,0.17638342073763935
local_relative_motion,1.0,0.5,2.0,rpe1_m,0.7307313144845059
local_relative_motion,1.0,0.5,2.0,rpe5_m,0.7307313144845059
local_relative_motion,1.0,0.5,2.0,rpe10_m,0.8315218406202999
local_relative_motion,1.0,0.5,2.0,dp_p95_m,0.3275692099413302
local_relative_motion,1.0,0.5,2.0,heading_mae_deg,0.22677868380553634
local_relative_motion,1.0,0.5,2.0,dtheta_p95_deg,0.17638342073763935
local_relative_motion,1.0,0.5,5.0,ate_m,0.17638342073763935
local_relative_motion,1.0,0.5,5.0,rpe1_m,0.7307313144845059
local_relative_motion,1.0,0.5,5.0,rpe5_m,0.7307313144845059
local_relative_motion,1.0,0.5,5.0,rpe10_m,0.8315218406202999
local_relative_motion,1.0,0.5,5.0,dp_p95_m,0.3275692099413302
local_relative_motion,1.0,0.5,5.0,heading_mae_deg,0.22677868380553634
local_relative_motion,1.0,0.5,5.0,dtheta_p95_deg,0.17638342073763935
local_relative_motion,1.0,0.5,10.0,ate_m,0.17638342073763935
